抓取時間,是否開放申購,產品名稱,產品代碼,ISIN_CODE,票面利率,到期日,計價幣別,申購參考報價,申購報價日,贖回參考報價,贖回報價日,配息頻率,風險報酬等級,申購資格,走勢圖連結,產品說明書連結
2026-09-25 11:51:23,是,卡夫亨氏食品公司債券Ｉ,A398,US50077LAT35,4.625,2029/01/30,USD,100.49,2026/09/24,98.17,2026/09/24,半年,RR4,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A398,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A398.pdf
2026-09-25 11:51:23,是,富國銀行次順位債券ＶＩＩ,A400,US94974BGE48,4.650,2044/11/04,USD,84.48,2026/09/24,79.63,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A400,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A400.pdf
2026-09-25 11:51:23,是,康卡斯特公司債券ＩＩＩ,A401,US20030NBQ34,4.600,2045/08/15,USD,80.45,2026/09/24,75.15,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A401,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A401.pdf
2026-09-25 11:51:23,否,安盛公司次順位債券ＩＩ,A402,XS1550938978,5.125,2047/01/17,USD,100.88,2024/04/26,99.44,2026/09/24,半年,RR3,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A402,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A402.pdf
2026-09-25 11:51:23,是,巴西石油全球金融私人有限公司債券ＩＩ,A404,US71647NAY58,5.999,2028/01/27,USD,102.71,2026/09/24,100.88,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A404,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A404.pdf
2026-09-25 11:51:23,否,美商高盛證券債券ＶＩＩ,A408,US38141GWV21,3.814,2029/04/23,USD,95.40,2024/04/26,97.28,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A408,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A408.pdf
2026-09-25 11:51:23,否,摩根士丹利債券ＶＩ,A409,US61744YAK47,3.591,2028/07/22,USD,96.16,2024/04/26,98.51,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A409,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A409.pdf
2026-09-25 11:51:23,是,匯豐控股次順位債券ＸＩ,A410,US404280AQ21,5.250,2044/03/14,USD,92.98,2026/09/24,88.35,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A410,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A410.pdf
2026-09-25 11:51:23,是,威瑞森電信公司債券ＩＶ,A411,US92343VBE39,4.750,2041/11/01,USD,88.37,2026/09/24,83.80,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A411,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A411.pdf
2026-09-25 11:51:23,是,百事公司債券Ｉ,A419,US713448DP06,3.450,2046/10/06,USD,74.29,2026/09/24,69.37,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A419,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A419.pdf
